task_id,employee_id,role,approver_id,stage_name,start_time,approval_request_time,approval_granted_time,end_time,deadline,workload_level,status
1,E01,Developer,A01,Review,2025-01-01 09:00,2025-01-01 10:00,2025-01-01 13:00,2025-01-01 15:00,2025-01-01 16:00,3,completed
2,E02,Developer,A02,Review,2025-01-01 09:30,2025-01-01 10:30,2025-01-01 18:00,2025-01-02 11:00,2025-01-02 10:00,5,completed
3,E03,Tester,A01,Approval,2025-01-01 11:00,2025-01-01 12:00,2025-01-01 12:20,2025-01-01 13:30,2025-01-01 17:00,2,completed
4,E04,Developer,A03,Review,2025-01-01 08:00,2025-01-01 09:00,2025-01-01 14:00,2025-01-01 16:30,2025-01-01 15:00,4,completed
5,E05,Tester,A02,Approval,2025-01-01 10:00,2025-01-01 10:30,2025-01-01 17:30,2025-01-01 18:30,2025-01-01 17:00,5,completed
6,E06,Manager,A01,FinalApproval,2025-01-01 09:00,2025-01-01 11:00,2025-01-01 19:00,2025-01-01 20:00,2025-01-01 18:00,5,completed
7,E07,Developer,A03,Review,2025-01-02 09:00,2025-01-02 10:00,2025-01-02 10:30,2025-01-02 12:00,2025-01-02 14:00,2,completed
8,E08,Tester,A02,Approval,2025-01-02 11:00,2025-01-02 11:30,2025-01-02 18:30,2025-01-02 19:30,2025-01-02 17:00,5,completed
9,E09,Developer,A01,Review,2025-01-02 08:30,2025-01-02 09:30,2025-01-02 15:30,2025-01-02 17:00,2025-01-02 16:00,4,completed
10,E10,Tester,A03,Approval,2025-01-02 10:00,2025-01-02 10:30,2025-01-02 11:00,2025-01-02 12:00,2025-01-02 13:00,1,completed
11,E11,Developer,A01,Review,2025-01-03 09:00,2025-01-03 10:00,2025-01-03 15:00,2025-01-03 17:00,2025-01-03 16:00,4,completed
12,E12,Tester,A02,Approval,2025-01-03 11:00,2025-01-03 11:30,2025-01-03 18:30,2025-01-03 20:00,2025-01-03 17:00,5,completed
13,E13,Developer,A03,Review,2025-01-03 08:00,2025-01-03 09:00,2025-01-03 09:20,2025-01-03 11:00,2025-01-03 14:00,1,completed
14,E14,Tester,A01,Approval,2025-01-03 10:30,2025-01-03 11:00,2025-01-03 16:00,2025-01-03 17:30,2025-01-03 16:30,4,completed
15,E15,Developer,A02,FinalApproval,2025-01-03 09:30,2025-01-03 10:30,2025-01-03 19:30,2025-01-03 21:00,2025-01-03 18:00,5,completed
